,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD52509,07 00 35.0185,-23 06 47.536,-5.386,3.09,9.5,9.44,9.427,9.461,9.394
HIP45037,09 10 22.9991,-23 10 36.103,-33.205,4.834,6.5329999999999995,6.531000000000001,6.507000000000001,6.551,6.489
HD61848,07 40 19.5001,-23 13 28.682,-8.578,1.087,9.79,9.71,9.611,9.619,9.612
HD121884,13 58 43.1932,-23 14 41.809,15.737,-6.08,9.0,8.95,8.787,8.771,8.78
HD49128,06 45 59.4181,-23 16 00.337,-0.758,-2.565,9.23,9.16,9.07,9.056000000000001,9.057
HD35902,05 27 00.7356,-23 19 56.612,6.93,-2.673,9.01,8.95,8.877,8.882,8.878
HD33096,05 07 03.8380,-23 22 09.028,-1.329,-5.402,9.48,9.42,9.289,9.269,9.265
HD54029,07 06 22.4364,-23 25 37.317,-7.785,-0.8640000000000001,7.95,7.93,7.854,7.895,7.8389999999999995
HD64857,07 55 00.5944,-23 27 55.328,-11.478,1.2309999999999999,7.01,6.98,6.821000000000001,6.85,6.7829999999999995
HD84473,09 44 56.1358,-23 29 04.117,-6.31,-7.45,7.98,7.94,7.8839999999999995,7.968,7.915
HD59524,07 29 22.2709,-23 31 29.347,-5.361000000000001,11.88,8.82,8.79,8.699,8.767999999999999,8.714
HIP35701,07 21 58.4338,-23 32 16.894,-1.996,0.7959999999999999,8.68,8.65,8.537,8.552,8.53
HD72366,08 31 40.2205,-23 32 20.628,-1.57,-30.93,8.25,8.18,8.036,8.111,8.012
HD52893,07 01 59.2902,-23 34 49.682,-4.4239999999999995,3.5469999999999997,9.55,9.5,9.551,9.526,9.556000000000001
HD70360,08 20 42.6408,-23 36 42.628,-4.977,-3.738,9.29,9.21,9.027999999999999,9.073,8.992
HIP110746,22 26 10.7042,-23 40 56.810,12.589,-1.565,6.257999999999999,6.276,6.257000000000001,6.279,6.285
HIP40591,08 17 15.4980,-23 44 07.784,1.3119999999999998,-5.222,8.45,8.42,8.254,8.277000000000001,8.206
HIP112269,22 44 25.4406,-23 45 53.840,13.128,0.435,8.51,8.47,8.429,8.413,8.392999999999999
HIP51447,10 30 25.2119,-23 51 04.760,1.51,-4.075,8.51,8.49,8.298,8.304,8.292
HD51986,06 58 35.7615,-23 52 51.044,0.745,9.008,6.745,6.712000000000001,6.601,6.593999999999999,6.566
HD73520,08 38 03.4183,-23 55 48.937,-7.771,3.21,9.33,9.27,9.24,9.244,9.238999999999999
HD201725,21 12 02.6698,-24 07 17.264,17.38,8.7,8.02,7.97,7.845,7.899,7.856
HIP46313,09 26 39.7057,-24 10 04.258,-43.361000000000004,7.874,6.895,6.898,6.876,6.9479999999999995,6.876
HIP29194,06 09 29.2787,-24 14 58.772,-2.61,6.65,8.34,8.36,8.354,8.401,8.349
HD44522,06 21 15.3063,-24 15 12.889,1.7619999999999998,2.376,8.99,8.99,9.0,9.001,8.984
