,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD93246,10 45 04.2068,-49 56 44.786,-12.880999999999998,0.7070000000000001,9.66,9.59,9.421,9.408999999999999,9.392000000000001
HD90784,10 27 52.6706,-49 57 04.657,-14.66,3.867,9.33,9.28,9.151,9.134,9.125
HD183626,19 32 53.5463,-50 01 27.549,3.218,-14.724,8.49,8.45,8.338,8.378,8.353
HD100352,11 32 29.0684,-50 02 25.503,-11.325999999999999,3.135,8.92,8.89,8.76,8.814,8.754
HD71789,08 27 01.4937,-50 03 31.990,-13.132,2.943,9.21,9.15,9.033999999999999,9.044,8.978
HD104580,12 02 37.0489,-50 05 04.294,-3.5010000000000003,0.7609999999999999,9.1,9.07,9.027999999999999,9.059,9.062999999999999
HD62417,07 41 23.1463,-50 05 36.588,-3.884,8.106,10.17,10.1,9.865,9.832,9.809
HD136590,15 23 32.8747,-50 07 20.368,-3.892,-6.242999999999999,10.25,10.24,9.952,9.901,9.895
HD78119,09 04 37.1914,-50 07 49.784,-13.269,8.451,10.02,10.0,9.918,9.974,9.947000000000001
HIP44449,09 03 20.6350,-50 07 58.804,-10.962,1.962,9.15,9.08,8.923,8.904,8.865
HD163961,18 01 30.5330,-50 10 01.222,2.391,-11.635,9.84,9.78,9.57,9.536,9.537
HD156123,17 18 23.9910,-50 12 39.776,-13.46,-34.75,6.98,6.98,6.968,7.044,6.986000000000001
HD86890,10 00 10.3369,-50 14 04.558,-10.204,2.861,9.22,9.19,9.075,9.075,9.024
HD92777,10 41 50.7070,-50 14 26.983,-24.006999999999998,6.2829999999999995,8.97,8.92,8.779,8.795,8.766
HD72163,08 29 15.5915,-50 15 00.253,-11.974,10.341,9.22,9.16,9.027999999999999,9.048,9.015
HD55251,07 09 38.3487,-50 20 10.674,-9.57,8.616,8.47,8.4,8.294,8.306000000000001,8.266
HD118044,13 35 23.4253,-50 23 57.448,-9.645,-4.843,10.34,10.34,10.339,10.352,10.377
HD48169,06 39 22.7737,-50 24 36.565,-8.533999999999999,9.051,9.57,9.55,9.479,9.499,9.477
HD99387,11 25 40.2934,-50 24 46.186,-13.487,-0.349,10.06,10.0,9.802,9.821,9.785
HD171581,18 38 11.5276,-50 24 47.130,-0.301,-9.939,8.97,8.96,8.846,8.898,8.85
HD101802,11 42 41.5210,-50 25 30.497,-11.0,4.529,8.43,8.43,8.332,8.366,8.335
HD91775,10 34 53.0412,-50 26 32.049,-11.55,-3.827,8.24,8.23,8.187000000000001,8.235,8.174
HD86806,09 59 35.6858,-50 26 52.075,-18.855999999999998,7.891,8.59,8.55,8.453,8.437000000000001,8.443999999999999
HD79277,09 11 19.4204,-50 27 13.357,-15.151,13.279000000000002,9.55,9.53,9.316,9.308,9.3
HIP44783,09 07 39.2285,-50 29 54.075,-6.817,2.715,8.85,8.8,8.609,8.618,8.596
HIP73131,14 56 44.4843,-50 35 18.293,-23.448,-17.97,7.72,7.66,7.4479999999999995,7.45,7.412999999999999
HD60130,07 30 28.5976,-50 36 32.297,1.061,17.718,6.52,6.54,6.584,6.608,6.591
HIP26515,05 38 17.4206,-50 38 27.584,-0.586,18.597,6.38,6.42,6.494,6.56,6.516
HD84644,09 45 04.3200,-50 40 01.711,-13.95,4.328,9.29,9.25,9.212,9.24,9.191
HD167157,18 16 39.2633,-50 42 28.769,-3.082,-8.462,9.59,9.54,9.336,9.361,9.314
HD35904,05 25 14.2675,-50 44 29.844,-0.631,-4.7589999999999995,9.76,9.79,9.711,9.777999999999999,9.749
HD112924,13 00 49.8984,-50 48 21.245,-9.809,-3.866,9.89,9.89,9.82,9.844,9.809
HD110091,12 40 00.1581,-50 52 45.501,-9.224,-1.297,10.4,10.36,10.312999999999999,10.325,10.317
HD75481,08 48 06.9968,-50 54 10.152,-14.372,13.811,9.21,9.2,9.086,9.142000000000001,9.068999999999999
HD83880,09 39 45.9773,-50 54 42.662,-16.59,4.085,9.29,9.24,9.045,9.01,8.988
HD131660,14 56 48.3536,-50 56 44.503,-9.258,-9.009,10.01,9.95,9.69,9.682,9.669
HD135056,15 15 08.9666,-50 57 17.128,-14.719000000000001,-8.72,10.03,9.99,9.722000000000001,9.77,9.683
HD83654,09 38 24.1903,-51 01 35.797,-11.187999999999999,6.442,9.99,9.94,9.758,9.732000000000001,9.72
HIP64933,13 18 34.8660,-51 17 08.811,-25.95,-12.19,6.162999999999999,6.172999999999999,6.098,6.1160000000000005,6.091
HD88275,10 09 21.3507,-51 17 19.015,-15.684000000000001,7.8660000000000005,9.72,9.67,9.497,9.462,9.442
HD137936,15 31 03.4605,-51 18 53.584,-3.952,-11.607000000000001,8.8,8.74,8.526,8.504,8.521
HD71003,08 22 44.5771,-51 21 53.671,-12.9,11.606,8.91,8.91,8.836,8.886000000000001,8.853
HD84836,09 46 23.0246,-51 22 04.119,-16.887,3.89,9.64,9.63,9.462,9.42,9.41
HIP81692,16 41 17.2409,-51 23 49.522,-16.741,-27.483,7.64,7.62,7.53,7.584,7.53
HD98203,11 17 16.9085,-51 24 25.343,20.982,-10.214,8.74,8.72,8.597999999999999,8.636000000000001,8.575
HD124744,14 16 50.0904,-51 24 49.332,-6.71,-3.17,10.0,9.95,9.627,9.59,9.588
HIP44643,09 05 48.2719,-51 27 38.795,-15.536,15.245,8.58,8.55,8.413,8.423,8.42
HD15911,02 31 45.4222,-51 39 41.276,2.166,5.704,9.39,9.44,9.43,9.497,9.421
HD70730,08 21 13.9174,-51 41 49.579,1.932,-5.171,8.66,8.65,8.554,8.585,8.591000000000001
HD97496,11 12 30.6274,-51 43 32.700,-15.145999999999999,4.988,8.5,8.48,8.363,8.383,8.402000000000001
HD136110,15 20 58.2099,-51 48 07.799,-16.525,-12.463,9.22,9.16,8.885,8.885,8.84
HD112165,12 55 08.5751,-51 48 31.051,-13.347000000000001,-1.834,8.9,8.89,8.8,8.863999999999999,8.831
HD116560,13 25 20.9818,-51 53 22.749,-9.817,-12.911,7.19,7.16,7.0089999999999995,7.0,6.981
HD81314,09 23 05.3286,-51 54 15.213,-14.397,9.206,8.87,8.81,8.667,8.725,8.656
HD104896,12 04 43.2164,-51 54 48.666,-10.917,0.765,10.05,9.98,9.804,9.821,9.786
HD95169,10 58 30.2209,-51 57 09.518,-6.103,3.6010000000000004,9.3,9.32,9.316,9.355,9.331
HD95534,11 00 49.7755,-52 04 29.942,-18.62,-6.76,6.82,6.81,6.827999999999999,6.84,6.827000000000001
HD105471,12 08 35.8819,-52 06 46.113,1.337,-10.825999999999999,9.07,9.01,8.888,8.889,8.899
HD107850,12 23 46.8407,-52 07 25.104,-12.765999999999998,-4.197,9.51,9.47,9.337,9.347000000000001,9.337
HIP45977,09 22 34.0423,-52 07 29.896,-23.098000000000003,16.392,8.98,8.93,8.742,8.808,8.716000000000001
HD83997,09 40 21.8554,-52 09 24.565,-12.818,3.5260000000000002,10.06,9.99,9.939,9.891,9.896
HD89766,10 20 13.0304,-52 11 39.387,-22.92,9.789,8.18,8.12,8.027000000000001,8.057,8.039
HD171001,18 35 11.6390,-52 11 49.748,6.457999999999999,-9.052999999999999,9.72,9.65,9.548,9.545,9.51
HIP18384,03 55 47.8734,-52 14 52.362,-1.294,4.628,7.93,7.86,7.706,7.696000000000001,7.67
HD136468,15 23 03.5061,-52 18 06.688,-7.016,-3.195,8.67,8.61,8.4,8.433,8.378
HD87932,10 06 55.9411,-52 19 00.909,-21.195,8.179,9.39,9.33,9.238,9.226,9.179
HIP22748,04 53 36.8469,-52 19 44.872,8.371,18.082,8.07,8.02,7.939,8.024,7.978
HD87760,10 05 45.9772,-52 24 22.077,-30.009,10.88,7.96,7.89,7.763999999999999,7.775,7.742000000000001
HD170239,18 31 14.2459,-52 27 39.487,-4.158,-26.069000000000003,8.24,8.23,8.117,8.113999999999999,8.081
HD72857,08 32 51.9263,-52 32 52.914,-12.136,2.997,9.31,9.25,9.155,9.176,9.118
HD141136,15 49 46.8279,-52 33 50.223,-12.794,-23.541,8.05,8.01,7.8660000000000005,7.914,7.8660000000000005
HD116995,13 28 22.1021,-52 37 05.456,-10.902999999999999,-2.839,10.25,10.21,10.016,10.022,9.968
HD99841,11 28 42.9078,-52 40 58.049,-17.065,0.6,9.45,9.42,9.254,9.243,9.211
HD92978,10 43 06.8630,-52 53 10.723,-15.753,7.506,9.27,9.25,9.125,9.168,9.131
HD101777,11 42 26.5030,-52 53 57.093,-16.895,7.749,10.1,10.03,9.882,9.851,9.852
HD16636,02 38 02.9095,-52 59 14.039,-1.139,13.082,10.13,10.07,9.927,9.92,9.902999999999999
HD45647,06 25 46.4022,-53 06 12.855,-1.775,10.141,10.02,9.98,9.863,9.906,9.883
HD108937,12 31 22.6575,-53 09 06.730,14.902999999999999,-2.99,9.99,9.92,9.731,9.77,9.732999999999999
HD84100,09 41 04.5319,-53 17 29.167,-1.595,5.63,9.83,9.83,9.617,9.572000000000001,9.575
HIP51422,10 30 07.1511,-53 20 36.898,-12.034,0.08900000000000001,7.99,8.0,7.968999999999999,8.058,8.003
HD118451,13 38 10.5979,-53 21 36.650,-13.932,-6.242000000000001,9.61,9.55,9.283999999999999,9.277000000000001,9.24
HIP72617,14 50 50.7640,-53 22 05.939,-16.594,-31.228,6.59,6.55,6.388,6.414,6.369
HD43073,06 11 15.8725,-53 24 39.454,7.044,43.398999999999994,8.91,8.85,8.779,8.781,8.751
HD49820,06 47 17.6726,-53 24 56.571,-7.522,10.093,9.21,9.2,9.218,9.254,9.224
HD110955,12 46 18.9048,-53 24 56.710,-8.628,-0.976,9.77,9.7,9.466000000000001,9.476,9.427
HD69955,08 16 50.7535,-53 28 29.020,-21.474,21.016,8.02,7.96,7.847,7.9079999999999995,7.872999999999999
HD84307,09 42 34.9225,-53 33 44.462,-14.638,-19.935,9.14,9.09,9.172,9.237,9.177
HD40559,05 56 33.9348,-53 34 08.726,-1.499,10.99,8.84,8.79,8.691,8.686,8.642000000000001
HD39193,05 47 52.0980,-53 38 03.765,0.611,6.8020000000000005,8.75,8.71,8.63,8.656,8.65
HD83558,09 37 33.7295,-53 45 13.776,-14.259,4.713,9.61,9.59,9.46,9.437000000000001,9.429
HD89384,10 17 33.3217,-53 48 01.037,-12.981,3.576,9.7,9.67,9.515,9.492,9.46
HD93735,10 48 26.4100,-53 49 38.319,-13.212,3.45,10.33,10.33,10.087,10.136000000000001,10.075
HD103145,11 52 30.6200,-53 50 21.922,-14.524000000000001,3.707,9.54,9.46,9.381,9.391,9.331
HD63548,07 46 45.2330,-53 51 01.049,-7.542999999999999,10.657,10.52,10.55,10.234,10.26,10.236
HD42646,06 08 48.6833,-53 51 44.891,-3.952,17.680999999999997,10.24,10.18,10.136000000000001,10.144,10.174
HD45020,06 22 00.1308,-53 58 11.929,-1.939,30.228,8.42,8.4,8.33,8.335,8.334
HD87279,10 02 22.2917,-54 03 10.172,-14.273,7.022,10.48,10.45,10.216000000000001,10.213,10.189
HD214536,22 39 54.5572,-54 07 35.238,-1.413,-2.234,9.18,9.17,9.09,9.131,9.092
HD33715,05 09 08.3915,-54 07 44.816,4.789,11.779000000000002,10.72,10.75,10.597000000000001,10.595999999999998,10.568
HD87121,10 01 24.7307,-54 10 24.952,-8.562000000000001,-0.266,10.04,10.0,9.81,9.767000000000001,9.771
HD103512,11 55 01.0285,-54 20 11.839,-10.324000000000002,-1.932,10.28,10.21,9.979,9.974,9.93
HD85698,09 51 47.0157,-54 20 50.644,-19.156,11.849,10.07,10.06,9.892000000000001,9.872,9.857999999999999
HD86544,09 57 29.1940,-54 22 57.569,-13.825999999999999,6.499,9.49,9.44,9.354,9.383,9.366
HD103776,11 56 52.8643,-54 29 42.828,-1.656,-5.792000000000001,8.26,8.19,7.896,7.862,7.8629999999999995
HD110445,12 42 39.2138,-54 32 18.530,-25.809,6.37,7.12,7.08,6.882999999999999,6.817,6.835
HIP56993,11 41 00.2287,-54 32 55.551,-27.676,-3.7230000000000003,7.43,7.41,7.367999999999999,7.3870000000000005,7.372000000000001
HD98024,11 15 45.8909,-54 34 57.556,-13.279000000000002,-7.676,10.56,10.51,10.335,10.36,10.334000000000001
HIP46852,09 32 51.8104,-54 35 45.836,-18.123,20.697,7.99,7.97,7.882000000000001,7.902,7.892
HD100674,11 34 42.9449,-54 39 24.741,-21.014,-7.931,8.9,8.86,8.774,8.818999999999999,8.8
HD99338,11 25 19.5221,-54 40 33.953,-12.489,0.06,10.43,10.4,10.212,10.226,10.196
HIP43497,08 51 34.5352,-54 41 05.045,-13.831,10.73,9.06,9.01,8.978,9.009,8.965
HIP52334,10 41 42.0856,-54 47 53.460,-8.292,-2.252,8.97,8.93,8.746,8.751,8.736
HD96036,11 03 50.2079,-54 48 03.848,-11.913,4.216,9.52,9.45,9.333,9.372,9.321
HD75296,08 46 46.3090,-54 49 18.530,-12.805,6.227,9.2,9.14,8.868,8.863,8.824
HD100542,11 33 47.2258,-54 52 32.017,-12.755,4.398,10.32,10.33,10.158999999999999,10.142999999999999,10.162
HD92120,10 36 58.5385,-54 57 11.113,-10.061,-3.6689999999999996,10.0,9.96,9.783,9.757,9.735
HIP53319,10 54 20.8888,-54 58 23.657,-14.189,3.904,8.65,8.65,8.474,8.488999999999999,8.481
HD33717,05 09 01.1954,-54 59 48.254,7.151,7.385,9.26,9.27,9.305,9.326,9.291
HIP44380,09 02 24.7319,-55 01 49.398,-37.139,12.792,7.61,7.56,7.468,7.51,7.4910000000000005
HD89183,10 15 51.4731,-55 13 50.572,-13.469000000000001,2.785,9.84,9.82,9.736,9.761000000000001,9.729
HD97164,11 10 18.9857,-55 28 21.013,-10.439,1.489,11.05,11.06,10.728,10.769,10.715
HD66749,08 02 06.8710,-55 36 15.311,-12.745999999999999,15.970999999999998,7.34,7.37,7.436,7.49,7.459
HD92381,10 38 47.2710,-55 38 32.640,-11.835999999999999,7.5,8.4,8.38,8.375,8.389,8.39
HD62377,07 40 40.8911,-55 39 05.630,1.008,-3.485,7.73,7.66,7.482,7.484,7.44
HD79813,09 14 01.4506,-55 40 41.970,-17.514,11.835999999999999,8.56,8.56,8.506,8.527000000000001,8.51
HD113222,13 02 59.0847,-55 40 53.283,-13.148,-3.6910000000000003,10.12,10.05,9.818999999999999,9.833,9.764
HD101752,11 42 11.0660,-55 41 18.053,-15.267999999999999,0.6829999999999999,9.88,9.9,9.8,9.85,9.833
HD58773,07 24 00.2248,-55 44 08.899,-5.1,11.61,9.59,9.52,9.324,9.331,9.274
HD91523,10 32 43.0379,-55 44 26.313,-14.140999999999998,1.807,9.56,9.56,9.521,9.522,9.506
HD79590,09 12 51.2648,-55 48 21.673,-10.86,14.205,9.3,9.27,9.119,9.11,9.09
HD81814,09 25 51.3977,-55 50 06.239,-11.015,7.479,9.68,9.67,9.57,9.6,9.567
HD162520,17 54 44.3218,-55 53 54.349,7.225,-10.698,7.33,7.29,7.15,7.162999999999999,7.136
HD203999,21 27 43.9111,-55 59 23.053,1.052,5.795,10.07,10.02,9.946,9.952,9.936
HD122032,14 00 45.3075,-56 10 12.696,-4.827,-4.1,9.67,9.61,9.415,9.412,9.362
HD43833,06 14 56.4441,-56 12 04.893,-3.747,10.912,8.9,8.9,8.861,8.921,8.886000000000001
HD95355,10 59 43.0239,-56 12 20.647,-12.648,14.866,7.55,7.54,7.497999999999999,7.531000000000001,7.502999999999999
HD1465,00 18 28.2600,-56 14 51.662,5.132000000000001,-9.947000000000001,10.687000000000001,10.694,10.54,10.582,10.545
HIP53935,11 02 10.4130,-56 24 21.397,-15.715,-0.3,8.32,8.3,8.124,8.104,8.079
HD105817,12 10 54.7254,-56 25 32.743,-23.76,0.27699999999999997,8.49,8.46,8.351,8.338,8.351
HD87155,10 01 21.1497,-56 28 17.573,-14.892000000000001,6.297000000000001,8.64,8.63,8.577,8.6,8.591000000000001
HD104564,12 02 30.9864,-56 33 37.600,-31.675,-3.7769999999999997,7.42,7.38,7.204,7.194,7.16
HD99512,11 26 24.5911,-56 37 34.510,-11.914000000000001,3.889,9.21,9.19,9.072000000000001,9.115,9.075
HD60131,07 29 52.6895,-56 43 39.685,-9.63,11.463,8.86,8.81,8.655,8.658,8.661
HIP43971,08 57 15.0271,-56 45 31.662,-9.055,4.9719999999999995,9.05,9.01,8.83,8.853,8.802
HD95841,11 02 39.0373,-56 46 38.115,-13.757,0.149,9.02,8.98,8.927999999999999,8.992,8.95
HD91052,10 29 20.1288,-56 48 29.745,-9.079,6.056,8.86,8.86,8.728,8.81,8.752
HD48155,06 38 33.8297,-56 50 30.796,-1.204,11.08,9.63,9.62,9.612,9.609,9.63
HD97012,11 09 18.9769,-56 51 09.866,-6.925,2.5069999999999997,9.79,9.73,9.55,9.56,9.541
HD87434,10 03 12.9285,-56 51 51.897,-17.837,8.0,9.48,9.45,9.349,9.344,9.299
HD121856,13 59 35.5987,-56 55 21.584,-10.142000000000001,-4.43,10.36,10.41,10.15,10.168,10.13
HD91618,10 33 26.8156,-56 56 59.877,-13.639000000000001,4.303,10.06,10.0,9.874,9.936,9.896
HD89940,10 21 16.9415,-57 04 07.026,-13.625,9.792,9.33,9.28,9.214,9.243,9.217
HD93053,10 43 30.9769,-57 15 10.384,-10.041,5.697,9.1,9.08,9.046,9.024,9.03
HD73388,08 35 27.7705,-57 18 28.768,-8.147,2.5669999999999997,9.2,9.13,9.052999999999999,9.064,8.997
HR4592,12 01 29.1924,-57 30 13.598,-58.51,-16.89,6.132000000000001,6.142,6.184,6.178999999999999,6.194
HD156855,17 23 18.6260,-57 31 53.813,0.953,-8.216000000000001,9.29,9.21,9.059,9.024,9.027000000000001
HD105177,12 06 40.2085,-57 32 50.191,-12.579,-1.6909999999999998,10.26,10.29,10.106,10.11,10.115
HD103571,11 55 29.0385,-57 35 50.866,-2.454,7.466,9.25,9.24,9.08,9.071,9.072000000000001
HIP23252,05 00 13.6852,-57 36 27.869,12.49,17.793,8.03,8.02,7.98,7.986000000000001,7.957000000000001
HD94611,10 54 21.5363,-57 38 53.266,-7.687,1.364,9.67,9.63,9.531,9.549,9.541
HD63102,07 43 52.8194,-57 46 22.333,-5.5920000000000005,13.987,9.16,9.09,8.805,8.825,8.773
HD87542,10 03 53.7898,-57 46 34.281,-11.634,4.1339999999999995,9.62,9.6,9.461,9.454,9.407
HD88891,10 13 31.0902,-57 56 31.282,-0.51,11.440999999999999,9.6,9.56,9.451,9.482999999999999,9.462
HIP116966,23 42 35.9509,-57 57 42.055,-11.7,-7.307,7.97,7.93,7.854,7.853,7.809
HD191412,20 12 42.9703,-58 00 32.949,2.6239999999999997,-9.253,9.45,9.45,9.39,9.35,9.344
HD100878,11 36 09.0976,-58 05 54.068,-20.763,-0.382,8.78,8.73,8.549,8.613999999999999,8.57
HD98769,11 21 19.1651,-58 10 26.806,-17.178,2.094,9.08,9.13,9.062000000000001,9.08,9.039
HD9545,01 32 12.7705,-58 22 59.216,10.32,12.37,9.26,9.19,9.01,9.026,8.981
HD81591,09 24 12.0115,-58 24 11.070,-13.091,6.931,9.71,9.64,9.493,9.461,9.453
HD151461,16 50 55.3293,-58 26 55.188,0.899,-5.685,8.83,8.78,8.62,8.648,8.594
HIP43796,08 55 10.8303,-58 41 26.255,-21.439,9.992,8.62,8.59,8.503,8.548,8.539
HD70175,08 17 34.2000,-58 41 50.912,-9.141,17.910999999999998,6.97,6.98,7.007999999999999,7.044,7.0089999999999995
HD93712,10 47 54.7819,-58 41 55.508,-24.208000000000002,8.831,9.03,9.01,8.881,8.877,8.86
HD105922,12 11 32.3317,-58 44 23.648,-11.037,-1.693,9.6,9.54,9.386000000000001,9.352,9.366
HD71778,08 26 10.0576,-58 46 04.806,-7.737,-0.493,10.56,10.49,10.258,10.31,10.238
HD188624,19 59 19.0145,-58 48 27.540,5.348,-7.915,9.67,9.64,9.523,9.544,9.549
HD89330,10 16 38.0083,-58 50 59.919,-15.689,9.068,8.92,8.91,8.82,8.869,8.824
HD97829,11 14 28.4257,-58 51 40.178,-13.125,8.533,8.83,8.76,8.672,8.676,8.665
HIP100333,20 20 53.4986,-59 02 08.644,10.35,-28.08,7.89,7.87,7.824,7.886,7.8260000000000005
HD91808,10 34 42.1446,-59 05 20.294,-15.394,1.0170000000000001,9.42,9.42,9.296,9.328,9.311
HD205711,21 39 25.5122,-59 14 22.473,6.325,-3.238,10.628,10.597999999999999,10.663,10.694,10.69
HD154789,17 11 11.4063,-59 44 44.467,-2.5580000000000003,-5.579,10.03,10.05,9.863,9.892999999999999,9.877
HD106671,12 16 14.8335,-59 53 05.135,-7.598,-5.4879999999999995,8.95,8.91,8.619,8.656,8.618
HD153928,17 06 00.5953,-60 03 08.600,-1.915,0.032,9.95,9.93,9.756,9.731,9.71
HD88934,10 13 40.3397,-60 15 47.998,-29.285999999999998,25.404,7.39,7.39,7.291,7.318,7.318
HIP30463,06 24 13.8422,-60 16 52.761,-31.653000000000002,30.85,5.767,5.766,5.755,5.803,5.754
HIP92196,18 47 22.8925,-60 22 30.366,11.084000000000001,-17.579,7.5,7.47,7.303999999999999,7.352,7.287000000000001
HD149280,16 37 18.8905,-60 29 27.272,-0.41100000000000003,-7.606,9.97,9.91,9.609,9.62,9.623
HD218076,23 06 01.6840,-60 34 42.994,2.2569999999999997,5.109,9.9,9.84,9.818999999999999,9.793,9.781
HIP37212,07 38 38.0214,-60 37 45.847,-7.278,31.869,7.67,7.61,7.5120000000000005,7.5729999999999995,7.4879999999999995
HD85231,09 48 17.0331,-60 44 14.223,-11.249,8.394,10.3,10.29,10.012,10.014,9.991
HD43373,06 11 48.0750,-60 49 47.250,3.4610000000000003,23.979,8.65,8.64,8.561,8.57,8.557
HD95044,10 57 09.6100,-60 50 43.632,-17.585,6.627000000000001,9.31,9.24,8.95,9.02,8.964
HIP1777,00 22 34.1731,-61 02 05.397,71.785,5.817,7.32,7.29,7.252000000000001,7.318,7.244
HD38004,05 38 26.4811,-61 10 01.204,-3.7460000000000004,31.660999999999998,8.04,8.07,8.116,8.181000000000001,8.137
HD126118,14 25 50.7816,-61 11 36.276,-5.332000000000001,-1.2009999999999998,10.59,10.54,10.214,10.2,10.158999999999999
HD25986,04 03 16.2207,-61 15 09.537,6.433,5.327000000000001,9.29,9.28,9.17,9.156,9.126
HD150009,16 42 03.8581,-61 19 18.333,-7.847,-21.714000000000002,9.54,9.51,9.298,9.333,9.295
HD42837,06 08 53.2297,-61 19 59.291,-8.743,13.503,9.4,9.37,9.395,9.397,9.374
HD86999,10 00 00.6964,-61 22 16.887,-7.726,4.831,10.05,10.01,9.829,9.811,9.863
HD102152,11 45 05.6821,-61 31 02.286,-10.413,1.344,9.16,9.15,8.863,8.833,8.836
HD146095,16 18 01.8061,-61 32 50.925,0.8440000000000001,-9.347000000000001,10.42,10.35,10.045,10.016,9.988999999999999
HD224377,23 57 27.4587,-61 45 42.737,20.046,10.232000000000001,8.2,8.19,8.212,8.256,8.241
HD70416,08 18 27.9667,-61 50 43.936,-4.952,5.207999999999999,9.56,9.49,9.311,9.3,9.26
HIP100128,20 18 43.6375,-61 54 24.176,13.402000000000001,-44.68,6.6,6.6,6.529,6.569,6.4910000000000005
HD145020,16 12 22.1861,-61 55 44.506,-27.293000000000003,-36.586,7.03,7.03,6.957000000000001,6.996,6.983
HD85956,09 53 03.2208,-62 20 06.915,-25.339000000000002,20.72,8.14,8.07,7.827000000000001,7.834,7.7989999999999995
HD157082,17 25 17.0094,-62 20 52.147,-0.419,-8.947000000000001,9.8,9.76,9.606,9.61,9.581
HD28667,04 27 06.4467,-62 47 58.633,-6.466,15.475,6.864,6.874,6.882000000000001,6.867000000000001,6.872000000000001
HD167239,18 18 31.4655,-62 51 16.981,-0.73,-12.195,9.09,9.06,8.978,9.025,8.997
HD103653,11 56 04.0032,-62 56 05.514,-8.447000000000001,0.674,10.15,10.1,9.741,9.774,9.749
HD144676,16 10 50.7967,-62 56 35.994,-2.106,-12.497,9.49,9.47,9.302999999999999,9.342,9.265
HD164839,18 07 23.4674,-63 09 18.885,0.109,-11.728,8.66,8.59,8.418,8.355,8.387
HD118172,13 36 49.8257,-63 12 14.860,-8.16,-7.513,8.87,8.81,8.447000000000001,8.432,8.408999999999999
HIP37050,07 36 49.7097,-63 18 01.536,-7.59,13.22,8.28,8.27,8.212,8.232000000000001,8.222000000000001
HD55328,07 08 11.0575,-63 28 40.878,-1.962,9.222999999999999,9.66,9.6,9.537,9.512,9.484
HD57468,07 17 06.3227,-63 28 44.383,-3.529,10.286,8.22,8.2,8.158999999999999,8.184,8.176
HD145868,16 17 07.4441,-63 36 38.665,0.231,-8.0,9.61,9.55,9.347000000000001,9.305,9.316
HD104233,12 00 06.8843,-63 49 08.359,-10.923,2.425,9.36,9.29,8.977,8.997,8.927999999999999
HIP82270,16 48 36.1973,-63 50 57.922,-2.622,-20.445999999999998,8.73,8.66,8.379,8.4,8.332
HD1881,00 22 38.8865,-64 02 55.378,7.997999999999999,3.16,10.9,10.89,10.731,10.773,10.737
HD202029,21 16 24.8701,-64 04 14.230,-12.495999999999999,-3.1719999999999997,9.12,9.07,8.943999999999999,8.946,8.945
HD63582,07 45 27.5846,-64 11 39.233,-7.754,14.627,7.68,7.68,7.64,7.678999999999999,7.666
HD144597,16 10 43.9097,-64 15 08.809,0.845,-2.659,8.5,8.48,8.356,8.389,8.347000000000001
HD74562,08 41 03.5285,-64 20 05.348,-30.799,18.609,7.77,7.73,7.631,7.666,7.608
HIP60851,12 28 19.2607,-64 20 27.574,-37.308,-10.354000000000001,6.14,6.09,5.974,6.002999999999999,5.96
HIP51131,10 26 44.4233,-64 21 06.126,-15.757,11.765999999999998,7.43,7.41,7.392,7.412999999999999,7.4239999999999995
HIP90090,18 23 04.7220,-64 22 41.374,8.627,0.619,8.41,8.39,8.307,8.287,8.29
HD113457,13 05 02.0406,-64 26 29.698,-36.629,-16.73,6.632000000000001,6.627999999999999,6.608,6.647,6.64
HD144976,16 12 33.6449,-64 28 07.189,-2.259,-3.515,10.15,10.1,10.039,10.055,9.995
HD83477,09 35 53.8495,-64 33 12.113,-12.331,15.698,7.34,7.34,7.311,7.346,7.35
HD74238,08 39 09.0787,-64 58 08.908,-3.0989999999999998,9.507,8.66,8.6,8.443999999999999,8.44,8.392999999999999
HD177777,19 10 36.6405,-65 09 52.084,0.856,-15.008,10.24,10.19,10.03,10.017999999999999,10.021
HD75260,08 45 19.1271,-65 10 53.998,-9.875,6.195,9.59,9.53,9.505,9.515,9.497
HD78691,09 06 12.4912,-65 11 26.908,-9.886000000000001,5.357,9.49,9.43,9.152000000000001,9.184,9.119
HD90020,10 21 17.6584,-65 11 44.277,-9.146,11.527999999999999,7.37,7.33,7.1370000000000005,7.144,7.099
HIP95567,19 26 21.7114,-65 11 46.796,8.78,-8.32,7.97,7.97,8.0,8.051,8.01
HD126860,14 30 50.9583,-65 26 19.915,-9.748,-9.814,10.09,10.05,9.855,9.88,9.837
HD146382,16 20 18.5122,-65 29 13.269,-3.514,-6.6739999999999995,10.37,10.3,10.124,10.104,10.113999999999999
HD75909,08 49 10.6706,-65 33 46.146,-4.122,8.943,9.42,9.37,9.172,9.168,9.148
HIP59898,12 17 06.3093,-65 41 34.651,-38.330999999999996,-10.073,6.0729999999999995,6.053999999999999,5.997000000000001,6.031000000000001,5.999
HD143000,16 01 56.0172,-65 43 34.965,-1.0659999999999998,-19.546,9.53,9.46,9.402000000000001,9.391,9.355
HD48991,06 41 18.5976,-65 58 51.535,-4.718,10.567,9.6,9.56,9.524,9.536,9.495
HIP92218,18 47 39.3835,-66 05 47.160,19.305,-13.392000000000001,9.88,9.81,9.666,9.672,9.63
HD157083,17 26 06.5921,-66 08 06.056,0.25,-2.966,9.57,9.57,9.556000000000001,9.557,9.51
